ID                            : ACCESS,    TYPE,  CNT,     MIN,           MAX,   STEP,      DEFAULT
EP/MODE5/NAME_MODE            :    RWA,  STRING,   20,     N/A,           N/A,    N/A, Mode5-Relative
EP/MODE5/VERSION              :      R,  UINT16,    1,    0.00,      65535.00,   1.00,          256
EP/MODE5/CODE_ZI              :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,            0
EP/MODE5/MODE_ID              :      R,   UINT8,    1,    0.00,        255.00,   1.00,            4
EP/MODE5/CHPK                 :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            0
EP/MODE5/GZI_MODE             :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            0
EP/MODE5/GZI_M                :    RWA,  UINT32,    1,    0.00,     524287.00,   1.00,        76960
EP/MODE5/GZI_N                :    RWA,  UINT32,    1,    0.00,       2047.00,   1.00,            0
EP/MODE5/GZI_Z                :    RWA,  UINT16,    1,   10.00,       1000.00,   1.00,           30
EP/MODE5/GZI_P                :    RWA,  UINT16,    1,    0.00,     131071.00,   1.00,        22727
EP/MODE5/NUM_SAMPLE           :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,        11446
EP/MODE5/T_ZI                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,         1894
EP/MODE5/T_DZ                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,         2083
EP/MODE5/T_WT                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,         2083
EP/MODE5/SIZE_BD              :    RWA,  UINT16,    1,    0.00,       1500.00,   1.00,          474
EP/MODE5/T_ADJ                :    RWA,  UINT16,    1,    0.00,       1000.00,   1.00,           20
EP/MODE5/AKF_SIZE             :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,         1854
EP/MODE5/AKF_TDELAY           :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,         1612
EP/MODE5/AKF_SHIFT            :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,           11
EP/MODE5/BD_WORK              :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,        11446
EP/MODE5/BD_TRES              :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,      3883008
EP/MODE5/BD_MAX               :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,        11254
EP/MODE5/GAIN_0               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,        35.00
EP/MODE5/GAIN_1               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,         0.00
EP/MODE5/GAIN_2               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,         0.00
EP/MODE5/WORK/BOT_ITERATION   :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            5
EP/MODE5/WORK/V_ITERATION     :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/MODE5/WORK/H_MAX           :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,       105.00
EP/MODE5/WORK/H_MIN           :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,        28.60
EP/MODE5/WORK/D_TRES          :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,       121.24
EP/MODE5/WORK/BOT_MEASURE_PERIOD:    RWA,   UINT8,    1,    0.00,        255.00,   1.00,           10
EP/MODE5/WORK/BW              :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            0
